term,genes,logFC_TR,logFC_gene
Brca1,Nkain4,0.0,-0.903358389947918
Brca1,Ampd3,0.0,1.51640627372515
Brca1,Sel1l3,0.0,0.953611967667825
Brca1,Mark3,0.0,0.831399144860965
Brca1,Hjurp,0.0,-6.716217044168861
Brca1,Dbndd2,0.0,0.932035155605385
Brca1,Klc3,0.0,6.6809538943179
Brca1,Ifit2,0.0,2.10737746512509
Brca1,Ndufa13,0.0,-0.625661424419062
Brca1,Sat1,0.0,1.57876817107734
Brca1,Flot1,0.0,1.70713649521979
Brca1,Fam126a,0.0,-1.7205697107661102
Brca1,Cnr1,0.0,10.410477886812401
Brca1,Def8,0.0,-0.82479100470048
Brca1,Usp54,0.0,1.01275583888907
Brca1,Zc3hav1,0.0,1.6832293486397705
Brca1,Lrtm2,0.0,1.6471692353573602
Brca1,Slc1a4,0.0,0.614568063128815
Brca1,Tceal3,0.0,-0.756332123580228
Brca1,Snrk,0.0,-0.8827269161175602
Brca1,Vim,0.0,1.04283160254037
Brca1,Ezr,0.0,1.29677912069787
Brca1,Ip6k1,0.0,0.897437566880025
Brca1,Stat1,0.0,1.0255748215943
Brca1,Lgals9,0.0,9.82681013993358
Brca1,Exd2,0.0,-1.7982000668636102
Brca1,Slc5a3,0.0,1.1572861632324298
Brca1,Bcl2l1,0.0,1.56188618599478
Brca1,Bcl7a,0.0,1.01344944822157
Brca1,Tle1,0.0,1.73221570133418
Brca1,Rdh5,0.0,-2.02640501097053
Brca1,Rnf10,0.0,0.69715036772529
Brca1,Fkbp5,0.0,2.9158965700015496
Brca1,Mcl1,0.0,0.743655940768822
Brca1,Cdkn1a,0.0,2.6019394154614903
Brca1,Arhgef4,0.0,1.0076706764687
Brca1,Dlg5,0.0,0.989970317644924
Brca1,Enpp2,0.0,-0.8335683236942341
Brca1,Gadd45b,0.0,3.0139778847137704
Brca1,Triobp,0.0,0.835743528587376
Brca1,Synpo,0.0,1.74481631429092
Brca1,Junb,0.0,4.59355025649866
Brca1,Fads2,0.0,-0.8672138560410779
Brca1,Parp3,0.0,1.35493657728559
Brca1,Insig1,0.0,-0.860140111025269
Brca1,Apln,0.0,-1.10338197066874
Brca1,Tmc7,0.0,-1.08482337626656
Brca1,Myo1c,0.0,2.0591828554543703
Brca1,Reep1,0.0,-1.63622552694643
Brca1,Kpna3,0.0,-1.11325245966936
Brca1,Znfx1,0.0,1.27485166491218
Brca1,Hrct1,0.0,11.8737013234065
Brca1,Eci1,0.0,-0.779826620216798
Brca1,Ralgds,0.0,0.6903522483493439
Brca1,Irf7,0.0,4.64411515716393
Brca1,Slc25a34,0.0,1.6557963088426102
Cebpb,4-sep,0.0,-0.970946020840117
Cebpb,Egln2,0.0,0.985708466546784
Cebpb,Cdo1,0.0,2.2241232583190897
Cebpb,Spen,0.0,1.3688554004161495
Cebpb,Bcs1l,0.0,-1.97367247409438
Cebpb,Sel1l3,0.0,0.953611967667825
Cebpb,Fth1,0.0,1.29922199284816
Cebpb,Col1a1,0.0,-2.3054093532109503
Cebpb,Igtp,0.0,2.05299490630702
Cebpb,Arhgap21,0.0,0.8822939373645049
Cebpb,Gpr179,0.0,1.86542065358433
Cebpb,Eif1,0.0,0.767280793606984
Cebpb,S100a11,0.0,1.50949789551796
Cebpb,Exd2,0.0,-1.7982000668636102
Cebpb,Crispld2,0.0,2.42569764965218
Cebpb,Trim8,0.0,0.997597965437188
Cebpb,Ahnak,0.0,1.40818445910047
Cebpb,Mpz,0.0,-1.27365116572079
Cebpb,Cyc1,0.0,-0.7248861724797391
Cebpb,Atp6v1a,0.0,-0.6766847217008989
Cebpb,Sun2,0.0,1.45851408150987
Cebpb,Oasl2,0.0,3.84331212784405
Cebpb,Tns2,0.0,1.25322206003601
Cebpb,Samd14,0.0,1.5950711518504
Cebpb,Metrn,0.0,-1.17795959252125
Cebpb,Tspyl1,0.0,-0.81801824357666
Cebpb,Hmgn1,0.0,2.04568614049612
Cebpb,Irgm1,0.0,3.25461559848038
Cebpb,Them4,0.0,-1.39330025273467
Cebpb,Ppp1r1a,0.0,-0.933911070926477
Cebpb,Laptm4a,0.0,-0.7327792346399449
Cebpb,Emg1,0.0,-1.70319202148702
Cebpb,Fbxo31,0.0,1.46063792234126
Cebpb,Vldlr,0.0,-1.83026057068571
Cebpb,Cyr61,0.0,3.4005604786713097
Cebpb,Apod,0.0,2.724557558607009
Cebpb,Dhrs7,0.0,-1.73328289398949
Cebpb,Rida,0.0,-0.7368391558140709
Cebpb,Cebpd,0.0,3.65005303809689
Cebpb,Btbd17,0.0,-1.11774834044139
Cebpb,Smyd1,0.0,-1.13314043139754
Cebpb,Sbno2,0.0,2.20300050289742
