Gene.Symbol,Refseq_ID,logFC
Dhrs1,Dhrs1,0.8295968326884221
Lrrc8a,Lrrc8a,0.8234478498017651
Farp1,Farp1,0.8214703210374509
Mtmr3,Mtmr3,0.8140370873435301
Fus,Fus,0.812904016463777
Adora1,Adora1,0.811800815351392
Cic,Cic,0.804834952404368
Lrig1,Lrig1,0.7994297597864799
Mbp,Mbp,0.797471944092313
Coro1c,Coro1c,0.7921814705746271
Tmem176a,Tmem176a,0.78425791945752
Eif1,Eif1,0.767280793606984
Cdc42ep1,Cdc42ep1,0.752651895034729
Ndst1,Ndst1,0.745656769975161
Wfs1,Wfs1,0.74391000129034
Mcl1,Mcl1,0.743655940768822
Eif4g3,Eif4g3,0.7429501520534209
Trim9,Trim9,0.7374672742330991
Idh2,Idh2,0.730722781005991
Spry2,Spry2,0.7243898276418191
Pdxdc1,Pdxdc1,0.7213091312381321
Tsc22d4,Tsc22d4,0.719167610069658
Mprip,Mprip,0.7106351234667679
Lrp1,Lrp1,0.7104041493645391
Cltb,Cltb,0.710286210787661
Tnk2,Tnk2,0.7047533581478951
Gabarapl1,Gabarapl1,0.698879635652308
Rnf10,Rnf10,0.69715036772529
Sox2,Sox2,0.695767248220544
Ralgds,Ralgds,0.6903522483493439
Tmem176b,Tmem176b,0.687599121483873
Fgfr1,Fgfr1,0.666681748495448
Etl4,Etl4,0.6659377243394721
Ctnna1,Ctnna1,0.662517628801597
Eif4g1,Eif4g1,0.655565011546338
Aldh1l1,Aldh1l1,0.6522892071695879
Sbds,Sbds,0.648398869958869
Rpl4,Rpl4,0.6399104312997691
Ppp1r9b,Ppp1r9b,0.629104875110509
Cnn3,Cnn3,0.6218913263289301
Eef1a1,Eef1a1,0.6195021490229929
Slc1a4,Slc1a4,0.614568063128815
Nfasc,Nfasc,0.6124093854324761
Ywhae,Ywhae,-0.577517976931598
Gsta4,Gsta4,-0.579872402613575
Qk,Qk,-0.5858717886535479
Myo6,Myo6,-0.5871558473173271
Pygb,Pygb,-0.5939615200130761
Tspan7,Tspan7,-0.593987794871595
Atp6ap1,Atp6ap1,-0.597512762047703
Astn1,Astn1,-0.5981981564447449
Slc25a5,Slc25a5,-0.599186390920778
Tmem59,Tmem59,-0.5992257878586329
Prdx2,Prdx2,-0.6088799793380789
Nadk2,Nadk2,-0.6176704675845861
Gnai2,Gnai2,-0.6192473978972121
Ndufa13,Ndufa13,-0.625661424419062
Paqr8,Paqr8,-0.6312212353768821
Calm1,Calm1,-0.632133889019394
Fam134a,Retreg2,-0.633796933697056
Ndufb10,Ndufb10,-0.6375482856968571
Cyp51,Cyp51,-0.637636820032572
Jam2,Jam2,-0.6376871656917861
Smo,Smo,-0.637890903641211
Lxn,Lxn,-0.643446399310928
Tecr,Tecr,-0.647781527935515
Sc5d,Sc5d,-0.65105837035398
Calr,Calr,-0.654582415622124
Scd1,Scd1,-0.6610767029421519
Fkbp9,Fkbp9,-0.6732697307110078
Ldha,Ldha,-0.67443691654955
Atp6v1a,Atp6v1a,-0.6766847217008989
Ndufa11,Ndufa11,-0.6897096135165199
Luzp2,Luzp2,-0.690227762014858
Slc22a17,Slc22a17,-0.6931653082683471
Stard7,Stard7,-0.693663860488131
Ergic3,Ergic3,-0.6943674669140429
Hadh,Hadh,-0.6953391990294799
Tm9sf3,Tm9sf3,-0.700912059077705
Gprc5b,Gprc5b,-0.7016230972887181
Sqle,Sqle,-0.703380654195046
Sdhc,Sdhc,-0.707752920281633
Tmem9b,Tmem9b,-0.7094054586146741
Arl6ip1,Arl6ip1,-0.7101157881761271
Ptdss1,Ptdss1,-0.713630388147808
Tspan3,Tspan3,-0.717520795614016
Etfb,Etfb,-0.7196457313148691
Man2a2,Man2a2,-0.720495980550523
Chchd3,Chchd3,-0.720528021461193
Cyc1,Cyc1,-0.7248861724797391
Psat1,Psat1,-0.7248899356061921
Emc7,Emc7,-0.7265458184874221
Calm3,Calm3,-0.728592497650667
Btbd1,Btbd1,-0.730019106028105
Laptm4a,Laptm4a,-0.7327792346399449
Gria1,Gria1,-0.732816944211549
Cops6,Cops6,-0.733540882769538
Hrsp12,Rida,-0.7368391558140709
Reep3,Reep3,-0.738824900482453
Erp29,Erp29,-0.7390299499039841
Col23a1,Col23a1,-0.7393322295944621
Asrgl1,Asrgl1,-0.742207158653231
Taldo1,Taldo1,-0.744001609511929
S1pr1,S1pr1,-0.745615569057519
Mdk,Mdk,-0.745949177132763
Cstf2t,Cstf2t,-0.7489993469268259
Emc3,Emc3,-0.752421077391063
Mapk3,Mapk3,-0.7525751609315551
Ablim2,Ablim2,-0.755083428478918
Tceal3,Tceal3,-0.756332123580228
9530068e07rik,9530068e07rik,-0.7591162575123771
Atl2,Atl2,-0.759816515750407
Pltp,Pltp,-0.766371636689082
Agpat5,Agpat5,-0.768062984952783
