term,genes
Jun,Bcl3;Capn2;Ccnd2;Cd14;Cdkn1a;Cmtm5;Col1a1;Cxcl10;Cyr61;Ephx2;Ezr;Fabp7;Fbln5;Flnc;Fos;Fth1;Gap43;Gja1;Icam1;Igfbp4;Junb;Lgals3;Lpar1;Mapk3;Mat2a;Mpz;Nfkbiz;Ptprd;Ptprn;Rarg;Rnf7;Socs3;Sox2;Spp1;Stat1;Stim1;Timp1;Timp3;Vim
Junb,Bcl3;Col1a1;Fbln5;Fth1;Junb;Lcn2;Lpar1;Pnpla2;Timp1;Timp3
Klf2,Adam15;Apln;Aplnr;Bcl3;Cdkn1a;Junb;Mvp;Plod2;Pros1;S1pr1;Stat1;Timp1
Klf3,Ahnak;Arid5a;Atf4;Bcl3;Capg;Carhsp1;Cmpk2;Ctnna1;Dhrs7;Fam126a;Fos;Glipr2;Ifi27;Man2a2;Msn;Parp3;Ptp4a2;Rab33b;Rdh12;Reep5;Sccpdh;Snrk;Tmc7;Vim
Klf4,Adamts1;Alpl;Bcl2l1;Bmpr1a;Ccnd2;Cd14;Cd34;Cdkn1a;Col1a1;Dusp4;Farp1;Gjb2;Hey2;Hspb1;Ifitm3;Macf1;Nf2;Oasl2;Smad1;Sox2;Tgm1;Usp18;Vim;Wls
Lcor,Adora1;Cdkn1a;Fkbp5;Igfbp4
Med13,Cidea;Gpd1;Thrsp
Mrtfa,Arpc1b;Bcl2l1;Cttn;Cxcl12;Fads2;Fos;Icam1;Lcn2;Mafk;Mylk;Ramp1;Saa3;Tst
Mrtfb,Bcl2l1;Fads2;Lcn2;Mafk;Ramp1;Saa3;Tst
Mtpn,Apod;Bcl2l1;Calm1;Ccnd2;Col1a1;Cp;Ddc;Fos;Gas5;Mt1;S100a6;Sox2;Spp1;Tnfrsf1a
