term,genes
Ncor,Ifitm3;Steap3;Hjurp;Nudt4;Ifit2;Lgals3;Laptm4a;Ccnd2;Capn2;Lgals9;Junb;Slc39a1;Tgm2;Gbp5;Paqr7;Mbnl2;Igfbp4;Entpd5;Entpd6;Ifrd1;Arid5a;Taldo1;Bcs1l;Tuba4a;Rnf126;Tmem135;S100a6;Cmpk2;Sqstm1;H2-d1;Cdc42se1;Slc22a4;Mtmr3;Pdxdc1;Usp54;Zfp503;Zc3hav1;Nkain4;Man2a2;Mustn1;Myo6;Fam241a;Camta1;Gse1;Cd14;Txndc5;Zrsr1;Btbd17;Fus;Tnk2;Msn;Irgm1;Ifi47;Gng12;Eif1;Cxcl10;Mfhas1;Bc005537;G6pc3;Adi1;Reep3;Calm1;Ywhae;Lgals3bp;Rarg;Smg5;Ppp1r9b;Fyco1;Arl5c;Glipr2;Anxa7;Cic;Oasl2;Sun2;Gpx1;Kremen1;Slc39a10;Gab2;Ptgr2;Ptp4a2;Ndufs7;Irf1;Irf7;Ank;Hdac2;Ahnak;Saa3;Psmb10;Tspan31;Tm9sf3;Ucp2;Spp1;Cdc37l1;Eps15;Gbp3;Spen;Ifi204;Stat1;Smox;Stat3;Sgpp1;Psmb8;Tmco1;Marcks;Myo1c;Fabp7;Clcf1;Spry2;Chpt1;Vim;Fcgr2b;Synm;Tinagl1;Fnbp1l;Arhgap5;Mylk;Trim9;Chchd3;Psd2;Mdk;Fth1;Enpp2;Plce1;Wls;Stard7;Gpx3;Ndufc2;Sdhc;C1ql1;Ppp1r3g;Erbin;Cttn;Map7d1;Ctdsp2;Gpd1;Plin4;Anapc4;Vamp1;Fam92b;Fjx1;Naxd;Atl2;Arhgap21;Prdx2;Sv2b;Cnr1;Mbp;Slc38a3;S100a11;Farp1;Mboat2;Sorbs1;Ehd3;Gsta4;Ppp1r1a;Bcl3;Gnb5;Cdo1;Sfxn5;Ypel3
Ncor1,Cdkn1a;Midn;Tinagl1;Kcnc3;Sat1;Ppp1r9b;Trim8;Tgm1;Fads3;Ndst1;Map1lc3b;Golga4;Ccnd2;Dbp;Lgals1;Mdk;Fth1;Arl6ip4;Anxa7;Phgdh;Synpo;Junb;Slc39a1;Hmgn1;Paqr7;Mbnl2;Atp6ap1;Tnfrsf12a;Stard7;Tpm3;Ifrd1;Ampd3;Foxp4;Neat1;Dnm1;Tnfrsf1a;Ptp4a2;Slc25a18;Tmem135;Stim1;Cttn;Ndufs7;Irf1;Cdc42ep1;Fkbp3;Chst2;Ppard;Ppp1r15a;Rtn2;Agpat5;Insig1;Capg;Zc3hav1;Agpat1;Slc5a3;Myl12a;Arhgap21;Nln;Ldha;Btbd1;Mgat3;Abl1;Lrrc8a;Ralgds;S100a11;Txndc5;Gadd45b;Mtx1;Fus;Asxl1;Col1a1;Dbndd2;Snrk;Slc6a8;Myo1c;P4ha1;Clcf1;Bcl3;Lcn2;Chpt1;Vim;Dhcr7;Bmpr1a
Nelfa,Ywhae;Pigs;Pygb;Rnf10;Mtch1;Cdkn1a;Ndufa13;Midn;Etfb;Smg5;Mrpl41;Laptm4a;9-sep;Ctsl;Senp8;Tmsb4x;Fth1;Nfkbiz;A4galt;Junb;Slc39a1;Hmgn1;Brd2;Tpi1;Unc13a;D8ertd738e;Gpx1;Tnfrsf12a;Stard7;Ifrd1;Arid5a;Rfx3;Sdhc;Tuba4a;Ddost;Asrgl1;Rab33b;Eef1a1;Tmem135;Carhsp1;Rcn2;Cttn;Ndufs7;Tst;Ctdsp2;Erp29;Sbds;Anapc4;Vamp1;Vdac2;Hacd3;Sqstm1;Fkbp3;Atf4;Agpat5;Insig1;Slc1a4;Slc5a3;Tspan31;Socs3;Mat2a;Ucp2;Cdc37l1;Camta1;Cyc1;Mcl1;Rpl41;Gadd45b;Fus;Tmco1;Cherp;Bst2;Bc005537;Spcs2;Pfkl;P4ha1;Adi1;9530068e07rik;Polr3h;Rnps1;Calr;Nit1;Calm1;Pnpla2;Fgfr1
Nerf2,Cdkn1a;Ndufa13;Apip;Hspb1;Tmem140;Akap13;Fyco1;Lgals3;Ednrb;Fth1;Hey2;Nfkbiz;D3ertd751e;Dusp4;Gabarapl1;Tle1;Ifrd1;Arid5a;Shisa5;Slc39a10;Taldo1;Slc30a1;Rhof;Ampd3;Gab2;Fos;Neat1;Slc39a14;Tnfrsf1a;Ppp1r3g;Olfm1;Tmem135;Mia2;Ezr;Sqstm1;Ergic1;H2-d1;Ppard;Slc22a4;Atp6v1a;Tbc1d9b;Lrp1;Mvp;Tshz1;Capg;Pla2g7;Fam129b;Sel1l3;Arhgap21;Nln;Olfml3;Tmem205;1110051m20rik;Spp1;Tspan3;Spen;Smox;Mboat2;Nap1l1;Fbxo31;Mfhas1;Bc005537;Cxcl12;Reep3;Bcl3;Zyx;Plekhm2;Chpt1;Fat3;Eif4g3;Fgfr1
Neurod2,Ywhae;Aldh1l1;Synm;Midn;Rarg;Ahcyl1;Ptprn;Lamc1;Ece2;Trim9;Samd14;Lgals1;Mdk;Snapc2;Adamts1;Adora1;Slc39a1;Tead3;Slc13a3;D8ertd738e;Rsad2;Kremen1;Fos;Neat1;Tuba4a;Ddost;Ptp4a2;4930402h24rik;Plin4;Vdac2;Cdc42ep1;Pmp2;Cd302;Tagln3;Fam92b;Ctxn1;Astn1;Atf4;Fkbp5;Ppard;Adcyap1r1;Lxn;Hlf;Ahnak;Kcna1;Sema3g;Cstf2t;Coro1c;Socs3;Serpina3f;Galr3;Lrrc8a;Slc38a3;Ralgds;Jam2;Ntsr2;Wfs1;Tnk2;Haghl;Nap1l1;Stxbp5l;Pfkl;Dlg5;Calr;Nf2;Tmem9b;Fgfr1
Nfe2,Steap3;Lman2l;Ptprn;Dbi;Lamc1;1700025g04rik;Retreg2;Dner;Capn2;Susd4;Adora1;Tnr;Efhd1;Cd34;Paqr8;Ifi204;Stat1;Ccdc190;Arid5a;Slc39a10;Bcs1l;Tuba4a;Marco;Nfasc;Sccpdh;Stk25;Arhgef4;Tmem9;Rgl1;Ramp1;Itm2c;Astn1
Nfe2l2,Rtp4;Pygb;Cdkn1a;Apip;Lamc1;Arhgap5;Ifit3;Gja1;Ednrb;Fnta;Fth1;Tom1;Cd34;Oasl1;Oasl2;Dusp4;Gabarapl1;Entpd5;Prkcd;Kremen1;Cacna2d3;Slc39a10;Taldo1;Slc30a1;Tmc7;Ampd3;Osmr;Ptgr2;Tnfrsf1a;Dctd;Eef1a2;Cd302;Fjx1;Sqstm1;Ppard;Macf1;Ddc;Atl2;Cstf2t;Slc1a4;Zc3hav1;Rida;Lmf1;Socs3;Sertad3;Btbd3;Fam241a;Ctnna1;Tspan3;Txndc5;Zrsr1;Vta1;Coq7;Mlh3;Stxbp5l;Marcks;Gsta4;P4ha1;Rcan2;Maff;Zyx;Chpt1;Bmpr1a;Spen;Stat1;Mvp;Emp2;Akap2;Amot;Trim9;Nln;Lgals3;Tmsb4x;Irf1;S1pr1;Mbp;Ndufv2;Sfxn5;Mgll
Nfi,Ifitm3;Pygb;Steap3;Ndufa13;Rarg;Col16a1;Tinagl1;Tnfaip6;Hjurp;Apip;Lamc1;Cyr61;Ppp1r9b;Fads3;Lgals3;Samd14;Ccnd2;Lgals1;Mpz;Tmsb4x;Dner;Nfkbiz;Capn2;Sirpa;Car14;Arl6ip4;Hadh;Cic;Cd34;Wls;Oasl2;Gpr179;Paqr8;Gabarapl1;Paqr7;Tpi1;Mamstr;Ndufc2;Gfra1;Rhof;Ampd3;Bcs1l;Ptp4a2;4930402h24rik;Rcn2;Cmpk2;Angptl4;Chst2;Itih5;Slc43a3;Insig1;Zfp503;Rhobtb3;Slc1a4;Agpat1;Cox5a;Hdac7;Nkain4;Rras;Ucp2;Atoh8;Abl1;S1pr1;Tspan4;Flnc;Msx1;Ctnna2;Vhl;E2f5;Txndc5;Zrsr1;Usp24;Spen;Rpl41;Btbd17;Stat1;Tmem176b;Msn;Irgm1;Dhrs1;Gng12;Col1a1;Myo1c;Stk25;Reep3;Clcf1;Etl4;Vim;Eif3f;Nit1;Slc25a34;Sfxn5;Bcl2l1
Nfib,Ppp1r15a;Synm;Hdac2;Plxnd1;Insig1;Capg;Lamc1;Rnf7;Cyr61;Akap2;Fbln5;Amot;Lgals1;Fnta;Adamtsl2;Atoh8;Tspan4;Slc38a3;Pamr1;Mapk4;Tsc22d4;Fbxo2;Tmem176b;Rhof;Osmr;Erbin;Gap43;Sccpdh;P4ha1;Aplnr;Amotl2
Nfya,Col16a1;Tinagl1;Apip;Lamc1;Fnbp1l;Cyr61;Fth1;Capn2;Tnr;Plce1;Phgdh;Map3k6;Cd34;Wls;Gbp5;Paqr7;Myoc;Fbxo2;Slc30a1;Ampd3;Gab2;Ddost;Fndc5;Ptp4a2;Stim1;Col4a2;Map7d1;Padi2;Astn1;Itih5;Macf1;Ahnak;Amigo2;Cstf2t;Cnn3;Arhgap21;Olfml3;Camk2n1;Susd4;S1pr1;Them4;Camta1;Gbp2;Eps15;Usp24;Spen;Farp1;Negr1;Sorbs1;Gng12;Tmco1;Slc4a8;Nfasc;Sccpdh;Cxcl12;Reep3;Dlg5;Alpl;Plekhm2;Echdc3;Fat3;Vim;Dhcr7;Slc25a34;Eif4g3;Bmpr1a
Nfyb,Ahcyl1;Col16a1;Tinagl1;Lamc1;Fnbp1l;Cyr61;Trim8;Ccnd2;Fth1;Capn2;Tnr;Plce1;Phgdh;Map3k6;Cd34;Wls;Gbp5;Paqr7;Myoc;Fbxo2;Gfra1;Gab2;Ddost;Fndc5;Ptp4a2;Map7d1;S100a6;Padi2;Astn1;Itih5;Macf1;Ahnak;Luzp2;Cnn3;Arhgap21;Olfml3;Camk2n1;Susd4;S1pr1;Them4;Camta1;Gbp2;Eps15;Usp24;Spen;Farp1;Cadm3;Negr1;Sorbs1;Gng12;Nfasc;Cxcl12;P4ha1;Reep3;Alpl;Plekhm2;Echdc3;Fat3;Vim;Dhcr7;Slc25a34;Eif4g3;Bmpr1a
Nkx2-5,Steap3;Ahcyl1;Prkag2;Dbi;Etfb;Ifit1;Txndc15;Triobp;Akap13;Fyco1;Gja1;Laptm4a;Fnta;Adamts1;Kif5a;Myo18a;Tmed2;Timp3;Oasl1;Oasl2;Hmgn1;Tsc22d4;Tpm3;Commd10;Prkcd;Cacna2d3;Ndufc2;Icosl;Tmem33;Crispld2;Sbds;Cdc42ep1;Pick1;Gas5;Sqstm1;Ddc;Ndufb10;Insig1;Cox5a;Nln;Sbno2;Mat2a;Lrig1;Tspan4;Lrrc8a;Flnc;Mark3;Ntsr2;Tmem176b;Tmem176a;Gng12;Coq7;Asxl1;Qdpr;Sqle;Spcs2;Cxcl12;Dlg5;Rcan2;Chpt1;Amotl2;Rnps1;Nf2;Rgl1;Nit1;Sfxn5;Pnpla2
Nmyc,Pygb;Steap3;Ahcyl1;Ptprn;Apip;Dbi;Lamc1;Fnbp1l;Cyr61;1700025g04rik;Mpz;Dner;Adamtsl2;Capn2;Adora1;Tnr;Sirpa;Cd34;Pamr1;Tgm2;Paqr8;Myoc;Stard7;Entpd6;Arid5a;Slc39a10;Sdhc;Slc30a1;Olfm1;4930402h24rik;Scg5;Arhgef4;Pmp2;Tmem9;Gas5;Fjx1;Astn1;Itih5;Lman2l;Arhgap21;Olfml3;Susd4;Fam241a;Cadm3;Ifi204;Negr1;Stat1;Pcp4l1;Smox;Ccdc190;Tmco1;Asxl1;Marco;Nfasc;Sccpdh;Stk25;Etl4;Echdc3;Vim;Rgl1;Fcgr2b;Nit1;Ramp1;Bcl2l1;Itm2c
Nr0b1,Rtp4;Rnf10;Cdkn1a;Steap3;Aldh1l1;Midn;Rarg;Slc44a1;Atp5g1;Cyr61;Icam1;Nudt4;Ppp1r9b;Trim8;Sox2;Ndst1;Map1lc3b;Mpz;Dner;Sirpa;Scd1;Junb;Cavin1;Dusp4;Gbp5;Tsc22d4;Brd2;Unc13a;Entpd5;Fbxo2;Amt;Sdhc;Rhof;Ampd3;Fos;Slc39a14;C1ql1;4930402h24rik;Tmem135;Col4a2;Ndufs7;Crispld2;Gpd1;Padi2;Pick1;Tagln3;Slc25a5;Frem2;Hlf;Mvp;Saa3;Zc3hav1;Agpat1;Cox5a;Cnn3;Socs3;Prdx2;Sbno2;Emg1;Sertad3;Mat2a;Mobp;Camk2n1;Mgat3;Spp1;Ctnna1;Gse1;Mbp;Ndufv2;Pltp;Mapk4;Mcl1;Ephx2;Mt1;Sorbs1;Fbxo31;Eif1;Asxl1;Slc4a8;Slc6a8;Gsta4;Reep3;Clcf1;Bcl3;Spry2;Chpt1;Vim;Dhcr7;Calr
Nr1h3,Cdc42se1;Agpat5;Pigs;Atp6v1a;Midn;Slc43a3;Dbi;Vldlr;Slc7a10;Tspan33;Pla2g7;Smg5;Osgep;Tm9sf3;Ldha;Map1lc3b;Eef2k;Spp1;Me1;Mbp;Phgdh;Gbp2;Pltp;Jam2;Tgm2;Paqr7;Tnfrsf12a;Igfbp4;Iqsec1;Fbxo31;Tmem135;Col4a2;Bcl3;Eef1a2;Calm3;Calr;Bcl2l1;Fkbp5
Nr1i2,Macf1;Slc43a3;Ncan;Tshz1;Prkag2;Mylk;Sbno2;Bcl7a;Mpz;Atoh8;Smyd1;Ctnna2;Spen;Zbtb16;Sdhc;Cp;Slc39a14;Eif1;Ptprd;Bc005537;4930402h24rik;Cyp2d22;Smo;Tmem33;Col5a3;Clcf1;Gpd1;Thrsp;Mgll;Tpt1;Ank;Ergic1
Nr3c1,Cdkn1a;Ddc;Capg;Slc1a4;Nln;Nkain4;Eef2k;Chchd3;Sv2b;Btbd3;Atoh8;Capn5;Tom1;Ctnna1;Tnr;Plce1;Mapk3;Tle1;Tspyl1;Zbtb16;Commd10;Mboat2;Gfra1;Ampd3;Gab2;Urb1;Ptgr2;Ddost;Cyp51;Slc4a8;Olfm1;Nfasc;Snrk;Gap43;Ppa2;Reep3;Aplnr;S100a6;Lcn2;Thrsp;Fat3;Eif3f;Nf2;Rgl1;Bcl2l1;Agpat5;Gria1;Gpm6a;Hip1;Lpar1;Fnbp1l;Sel1l3;Socs3;Ednrb;Senp8;Adamtsl2;Enpp2;Cd34;Wls;Tspyl2;Dusp4;Gadd45b;Entpd6;Col23a1;Slc39a10;Msn;Shisa9;Cldn10;Marco;Cxcl12;Stk25;Adi1;Psat1;Cd109;Wnk2;Dlg5;Spry2;Fam92b;Ezr;Ergic1
Nrf2,Rtp4;Pygb;Cdkn1a;Apip;Lamc1;Arhgap5;Ifit3;Gja1;Ednrb;Fnta;Fth1;Tom1;Cd34;Oasl1;Oasl2;Dusp4;Gabarapl1;Entpd5;Prkcd;Kremen1;Cacna2d3;Slc39a10;Taldo1;Slc30a1;Tmc7;Ampd3;Osmr;Ptgr2;Tnfrsf1a;Dctd;Eef1a2;Cd302;Fjx1;Sqstm1;Ppard;Macf1;Ddc;Atl2;Cstf2t;Slc1a4;Zc3hav1;Rida;Lmf1;Socs3;Sertad3;Btbd3;Fam241a;Ctnna1;Tspan3;Txndc5;Zrsr1;Vta1;Coq7;Mlh3;Stxbp5l;Marcks;Gsta4;P4ha1;Rcan2;Maff;Zyx;Chpt1;Bmpr1a
Nucks1,Ywhae;Cdkn1a;Steap3;Arpc1b;Cltb;Hspb1;Lamc1;Cyr61;Icam1;Eef2k;Fth1;Capn2;Map3k6;Junb;Tle1;Prkcd;Gfra1;Fos;Dnm1;Tnfrsf1a;Ctdsp2;Irf1;Atf4;Fkbp5;Ppp1r15a;Hdac2;Cebpd;Socs3;Ldha;Rras;Myo6;Bag1;S1pr1;Lrig1;Ralgds;Eps15;Mcl1;Mapk3;Smad1;Stat1;Stat3;Eif2ak2;Sorbs1;Pfkl;Cxcl12;Bcl3;Zyx;Calm3;Eif4g1
Oct1,Lgals3bp;Rtp4;Synm;Rarg;Col16a1;Tinagl1;Hip1;Kcnc3;Trim8;Ndst1;Adora1;Myo18a;Tnr;Anxa7;Lgals9;Map3k6;Cavin1;Tsc22d4;Unc13a;Mbnl2;Rfx3;Ampd3;Osmr;Asrgl1;C1ql1;Tapbp;Ptp4a2;Ppa2;Cttn;Col4a2;Tmem33;Ergic3;Fjx1;Hdac2;Ahnak;Ntm;Atl2;Adcy2;Usp18;Lmf1;Prdx2;Camk2n1;Mbp;Ctnna2;Ralgds;Iqsec1;Nipsnap2;Mlh3;Reep1;Mfhas1;Spcs2;Ehd3;Cxcl12;Clcf1;Plekhm2;Calm3;Vim;Fcgr2b;Eif4g3
Oct4,Ifitm3;Mtch1;Ndufa13;Ifit1;Sox2;Golga4;Gja1;Capn5;Kif5a;Sirpa;Lgals9;Hadh;Junb;Slc39a1;Kpna3;Tgm2;Entpd6;Bcs1l;Tuba4a;Eef1a1;Carhsp1;Astn1;Cdc42se1;Slc1a4;Sult1a1;Socs3;Prdx2;Emg1;Rras;Mobp;Galr3;Bag1;Abl1;Mbp;Cd14;Ralgds;Mcl1;Ephx2;Tnk2;Cidea;Mt1;Stk25;Reep3;Bcl3;Lcn2;Amotl2;Sfxn1;Calr;Nf2;Calm1;Fgfr1;Bmpr1a;Rnf10;Cdkn1a;Rarg;Kcnc3;Hspb1;Cyr61;Sgce;Map1lc3b;Eef2k;Flot1;Anxa7;Timp1;Scd1;Tead3;Brd2;Gpx1;Rhof;Fos;Ddost;Rab33b;Tapbp;Gprc5b;Tst;Ctdsp2;Irf1;Vamp1;Ppard;Hdac2;Ddc;Ahnak;Cebpd;Cox5a;Akap2;Gnai2;Camk2n1;Ucp2;Spp1;Msx1;Fmc1;Jam2;Slc35a2;Mog;Stat1;Stat3;Sorbs1;Slc4a8;Pfkl;Gsta4;Spry2;Steap3;Ptprn;Hjurp;Dbi;Lamc1;Nudt4;Trim9;1700025g04rik;Retreg2;9-sep;Mpz;Dner;Hey2;Capn2;Adora1;Tnr;Efhd1;Timp3;Cd34;Paqr8;Tspyl1;Myoc;Gpx3;Col23a1;Arid5a;Kremen1;Omg;Slc39a10;Sdhc;Slc30a1;Icosl;Irak3;C1ql1;Rnf126;Rhoj;Arhgef4;Tmem9;Gria1;Lman2l;Lrp1;Anapc16;Susd4;Ntsr2;Cadm3;Gadd45b;Ifi204;Pcp4l1;Ccdc190;Vta1;Mboat2;Nap1l1;Tmco1;Marco;Nfasc;Marcks;Sccpdh;P4ha1;Nsg2;Fabp7;9530068e07rik;Chpt1;Sycp3;Rgl1;Fcgr2b;Ramp1;Itm2c;Pygb;Apip;2900097c17rik;Fnbp1l;Ggta1;Kif5c;A730017l22rik;Pamr1;Gbp5;Slc13a3;Stard7;Olfm1;4930402h24rik;Ppa2;Scg5;Cd302;Fjx1;Frem2;Itih5;Fam129b;Olfml3;Btbd3;1110051m20rik;S1pr1;Fam241a;Smox;Asxl1;Etl4;Echdc3;Vim;Nit1;Ttll9;Bcl2l1;Lgals3bp;Synm;Hip1;Plxnd1;Icam1;Trim8;Ccnd2;Senp8;Adamtsl2;Tspyl2;Sun2;Paqr7;Prkcd;Bgn;Taldo1;Kctd1;Tmc7;Foxp4;Dnm1;Asrgl1;Clip3;Slc25a18;Cttn;Col4a2;Crispld2;Aplnr;Padi2;Ergic3;Ezr;Rtn2;Agpat5;Hlf;Usp54;Tshz1;Amigo2;Rhobtb3;Usp18;Hdac7;Clec3b;Apod;Tppp;Mark3;Hhatl;Iqsec1;Wfs1;Stxbp5l;Reep1;Dhrs7;Alpl;Calm3;Polr3h;Slc35b2;Col16a1;Arl6ip1;Hrct1;Ifit3;Bcl7a;Paqr6;Pllp;Neat1;Ppp1r3g;Eef1a2;Aspg;Gpd1;Vdac2;Pick1;Hacd3;Mxra7;Atf4;Lrtm2;Cstf2t;Agap3;Osgep;Lmf1;Ablim2;Man2a2;Rdh12;Ctnna1;Camta1;Gbp2;Snx5;Cmtm5;Tmem176a;Nipsnap2;Cops6;Gjb2;Rcan2;Clcf1;Mafk
Olig2,Tmem140;Sat1;Sox2;Laptm4a;Ednrb;Lgals1;Kif5c;Capn2;Hadh;Synpo;Junb;1700086o06rik;Tle1;Mbnl2;Stard7;Tpm3;Cacna2d3;Taldo1;Kctd1;Foxp4;Neat1;Serping1;Nupr1;Tagln3;Sqstm1;Cdc42se1;Macf1;Zfp503;Rhobtb3;Agap3;Socs3;Nkain4;Ldha;Ptdss1;Mobp;Galr3;Abl1;Gse1;Ralgds;Mark3;Btbd17;Wfs1;Zbtb16;Coq7;Serpina3h;Eif1;Col1a1;P4ha1;Nsg2;Stk25;Adi1;Reep3;Dlg5;Alpl;Mafk;Dhcr7;Calr;Fgfr1;Pygb;Tinagl1;Cyr61;Ppp1r9b;Trim8;Akap13;1700025g04rik;Map1lc3b;Eef2k;Bcl7a;Hey2;Flot1;Timp3;Scd1;Oasl1;Myoc;Metrn;Lsr;Tnfrsf1a;Gap43;Tmem33;Ctdsp2;Cdc42ep1;Fjx1;Chst2;Vgll3;Mvp;Lrtm2;Capg;Ptn;Tns2;Olfml3;Camk2n1;Atoh8;Flnc;Sncb;Jam2;Mapk3;Spen;Mtx1;Mog;Pcp4l1;Stat3;Nap1l1;Def8;Mlh3;Tmem59;Nfasc;Marcks;Vim;Slc44a1;Plxnd1;Arl6ip1;Ccnh;Plod2;Vldlr;Arhgap5;Gja1;Chchd3;Ccnd2;Mprip;Tmsb4x;Capn5;Nfkbiz;Tnr;Dusp4;Gabarapl1;Commd10;Rfx3;Slc30a1;Gfra1;Fos;Tmem135;Ppa2;Fez1;Ezr;Adcyap1r1;Hdac2;Ntm;Slc1a4;Slc5a3;Akap2;Arhgap21;Nln;Ablim2;Bag1;Cdc37l1;Nrip3;Mbp;Apod;Ctnna2;Tspan3;Pltp;S100a11;Cadm3;Slc14a2;Negr1;Vta1;Cyp51;Mfhas1;Snrk;Slc6a8;Psat1;Spry2;Thrsp;Eif4g3
P300,Ahcyl1;Fads3;Lgals3;Ednrb;Mprip;Fth1;Capn2;Adora1;Map3k6;Slc39a1;Kpna3;Wls;Gpr179;Chid1;Gabarapl1;Unc13a;Mbnl2;Igfbp4;Fbxo2;Taldo1;Neat1;Rnf126;Adam15;Map7d1;Cd109;S100a6;Erf;Vdac2;Sqstm1;Cdc42se1;Macf1;Sdc2;Tshz1;Slc1a4;Agap3;Slc5a3;Cnn3;Btbd1;Btbd3;Tspan4;Camta1;Snx5;Mcl1;Smad1;Rpl41;Slc14a2;Gng12;Col1a1;Sccpdh;P4ha1;Stk25;Col5a3;Reep3;Dlg5;Plekhm2;Mafk;Nf2;Calm1;Eif4g3;Bmpr1a;Eif4g1;Cuedc2;Lamc1;Ppp1r9b;Trim8;Snapc2;Myo18a;Phgdh;Metrn;Emp2;Gab2;Fos;Fam126a;Ddost;Tnfrsf1a;Ptp4a2;Angptl4;Fjx1;Mgll;Kank1;Mvp;Amigo2;Tns2;Hdac7;Lmf1;Tm9sf3;Camk2n1;Tmem205;Ucp2;S1pr1;Msx1;Gbp2;Jam2;Gbp3;Mapk3;Usp24;Spen;Egln2;Mtx1;Haghl;Mboat2;Efr3b;Myo1c;Spry2;Ypel3;Pnpla2;Ifitm3;Pigs;Pygb;Mtch1;Slc35b2;Col16a1;Tinagl1;Hip1;Plxnd1;Vldlr;Ece2;Txndc15;Icam1;Rbm3;Fads2;Eef2k;Slc22a17;Tmsb4x;Tom1;Cavin1;Tspyl2;Sun2;Paqr7;Stard7;Pllp;Prkcd;Entpd6;Rfx3;Osmr;Asrgl1;Eef1a1;Tmem135;Gap43;Carhsp1;Stim1;Ndufs7;Aspg;Aplnr;Slc25a5;Ezr;Hdac2;Ahnak;Slc43a3;Usp54;Atl2;Myl12a;Socs3;Nkain4;Atoh8;Them4;Apod;Cd14;Flnc;Tppp;Vhl;Slc38a3;Ralgds;Ntsr2;Farp1;Tmem176b;Tmco1;Nfasc;Dhrs7;Gjb2;Clcf1;Sfxn1;Vim;Sfxn5;Steap3;Hjurp;Apip;2900097c17rik;Dbi;Ggta1;1700025g04rik;Retreg2;Kif5c;Mpz;Dner;Tnr;Efhd1;Sirpa;A730017l22rik;Cd34;Pamr1;Tgm2;Paqr8;Myoc;Arid5a;Slc39a10;Sdhc;Slc30a1;Ampd3;Bcs1l;Olfm1;Ppa2;Arhgef4;Tmem9;Cd302;Gas5;Frem2;Astn1;Itih5;Lman2l;Fam129b;Arhgap21;Olfml3;Susd4;Abl1;Cadm3;Ifi204;Negr1;Stat1;Pcp4l1;Smox;Ccdc190;Asxl1;Marco;Etl4;Echdc3;Rgl1;Fcgr2b;Nit1;Ramp1;Bcl2l1;Itm2c;Ccnh;Rasgrf2;Sox2;Rph3a;Tmem47;Golga4;Gja1;Chchd3;Glipr2;Tle1;Bgn;Dctd;Gprc5b;Cmpk2;Cdc42ep1;Vgll3;Gria1;Atp6v1a;Luzp2;Ntm;Lpar1;Gdpd2;Cstf2t;Adcy2;Ptn;Rnf7;Sv2b;Lrig1;Mbp;Ctnna2;Ndufv2;Stxbp5l;Mfhas1;Snrk;Marcks;Cxcl12;Psat1;Fat3
P53,Pygb;Steap3;Slc44a1;Ptprn;Hjurp;Apip;Dbi;Lamc1;Ggta1;Larp1b;Sox2;1700025g04rik;Retreg2;Kif5c;Mpz;Dner;Capn2;Adora1;Tnr;Efhd1;Hadh;Cd34;Pamr1;D3ertd751e;Tgm2;Wls;Paqr8;Myoc;Arid5a;Slc39a10;Sdhc;Slc30a1;Bcs1l;Tuba4a;Olfm1;Ppa2;Tmem33;Arhgef4;Pmp2;Tmem9;Gas5;Frem2;Astn1;Itih5;Macf1;Lman2l;Lpar1;Fam129b;Arhgap21;Cnr1;Camk2n1;Btbd3;1110051m20rik;Susd4;Abl1;S1pr1;Fam241a;Camta1;Cadm3;Ifi204;Stat1;Pcp4l1;Smox;Ccdc190;Tmco1;Marco;Nfasc;Sccpdh;Stk25;Etl4;Echdc3;Vim;Rgl1;Fcgr2b;Nit1;Ramp1;Itm2c;Aldh1l1;Ahcyl1;Ece2;Endou;Ndst1;Samd14;Mdk;Capn5;Arl6ip4;Stard7;Pllp;Entpd5;Ampd3;Osmr;Tnfrsf1a;Fndc5;Tst;Map7d1;Mgll;Chst2;Irf9;Ergic1;Agpat5;Gpm6a;Lrrc59;Ndufb10;Anapc16;Sema3g;Lcat;Zc3hav1;Rnf7;Usp18;Pla2g7;Osgep;Rida;Tm9sf3;Clec3b;Ablim2;Rdh12;Atoh8;Slc38a3;Gbp3;Gadd45b;Iqsec2;Hinfp;Asxl1;Ppp1r1b;Lcn2;Mafk;Eif3f;Eif4g3;Fgfr1;Gbp5;Tle1;Egln2;Hlf;Negr1;Fus;Slc1a4;Tapbp;Tmem47;Ccnd2;Psd2;Glipr2;Slc22a17;Plekhm2;Calm3;Calm1
